Scan_Point	Freq (Hz)	Pout (DBM)
1	6000000000	-73.0689
2	6000000000	-73.2364
3	6000000000	-73.1281
4	6000000000	-73.1853
5	6000000000	-73.2242
6	6000000000	-73.1188
7	6000000000	-73.1933
8	6000000000	-73.0788
9	6000000000	-73.1183
10	6000000000	-72.9873
11	6000000000	-72.8953
12	6000000000	-72.7357
13	6000000000	-72.6874
14	6000000000	-72.5342
15	6000000000	-72.3183
16	6000000000	-72.1278
17	6000000000	-71.9295
18	6000000000	-71.7248
19	6000000000	-71.568
20	6000000000	-71.3639
21	6000000000	-71.1569
22	6000000000	-70.9561
23	6000000000	-70.8413
24	6000000000	-70.6866
25	6000000000	-70.4779
26	6000000000	-70.369
27	6000000000	-70.2921
28	6000000000	-70.1525
29	6000000000	-70.0919
30	6000000000	-69.9983
31	6000000000	-69.9892
32	6000000000	-69.8773
33	6000000000	-69.925
34	6000000000	-69.9795
35	6000000000	-69.949
36	6000000000	-70.0424
37	6000000000	-70.1404
38	6000000000	-70.2302
39	6000000000	-70.4138
40	6000000000	-70.5332
41	6000000000	-70.7501
42	6000000000	-70.9
43	6000000000	-71.1865
44	6000000000	-71.4456
45	6000000000	-71.7158
46	6000000000	-72.0808
47	6000000000	-72.4585
48	6000000000	-72.7903
49	6000000000	-73.2691
50	6000000000	-73.6702
51	6000000000	-74.2749
52	6000000000	-74.8234
53	6000000000	-75.3591
54	6000000000	-76.1057
55	6000000000	-76.7465
56	6000000000	-77.6368
57	6000000000	-78.5652
58	6000000000	-79.6915
59	6000000000	-81.0087
60	6000000000	-82.0613
61	6000000000	-83.7737
62	6000000000	-85.5031
63	6000000000	-87.7874
64	6000000000	-90.0224
65	6000000000	-91.8952
66	6000000000	-91.6405
67	6000000000	-90.1783
68	6000000000	-87.852
69	6000000000	-85.854
70	6000000000	-84.4609
71	6000000000	-82.7958
72	6000000000	-81.9277
73	6000000000	-80.9573
74	6000000000	-79.8732
75	6000000000	-79.0764
76	6000000000	-78.3913
77	6000000000	-77.6927
78	6000000000	-77.0931
79	6000000000	-76.4752
80	6000000000	-76.0796
81	6000000000	-75.5914
82	6000000000	-75.2902
83	6000000000	-74.8097
84	6000000000	-74.4836
85	6000000000	-74.1336
86	6000000000	-73.8706
87	6000000000	-73.6262
88	6000000000	-73.3426
89	6000000000	-73.1103
90	6000000000	-72.8637
91	6000000000	-72.7311
92	6000000000	-72.4816
93	6000000000	-72.2414
94	6000000000	-72.165
95	6000000000	-71.8703
96	6000000000	-71.7348
97	6000000000	-71.5768
