 Scan_Point	Freq (Hz)	Pout (DBM)
1	1800000000	-51.8105
2	1800000000	-51.829
3	1800000000	-51.839
4	1800000000	-51.8296
5	1800000000	-51.833
6	1800000000	-51.8306
7	1800000000	-51.8301
8	1800000000	-51.8295
9	1800000000	-51.8389
10	1800000000	-51.838
11	1800000000	-51.8366
12	1800000000	-51.8406
13	1800000000	-51.8411
14	1800000000	-51.8431
15	1800000000	-51.846
16	1800000000	-51.8443
17	1800000000	-51.8499
18	1800000000	-51.8473
19	1800000000	-51.8505
20	1800000000	-51.8578
21	1800000000	-51.8608
22	1800000000	-51.867
23	1800000000	-51.8677
24	1800000000	-51.8701
25	1800000000	-51.8774
26	1800000000	-51.8872
27	1800000000	-51.8826
28	1800000000	-51.889
29	1800000000	-51.9051
30	1800000000	-51.9082
31	1800000000	-51.9168
32	1800000000	-51.9164
33	1800000000	-51.9218
34	1800000000	-51.9318
35	1800000000	-51.9453
36	1800000000	-51.9432
37	1800000000	-51.9495
38	1800000000	-51.96
39	1800000000	-51.966
40	1800000000	-51.9774
41	1800000000	-51.9886
42	1800000000	-51.999
43	1800000000	-52.0088
44	1800000000	-52.0141
45	1800000000	-52.0214
46	1800000000	-52.0366
47	1800000000	-52.05
48	1800000000	-52.0594
49	1800000000	-52.0683
50	1800000000	-52.0827
51	1800000000	-52.0942
52	1800000000	-52.0995
53	1800000000	-52.1139
54	1800000000	-52.1281
55	1800000000	-52.1452
56	1800000000	-52.1432
57	1800000000	-52.1609
58	1800000000	-52.1747
59	1800000000	-52.186
60	1800000000	-52.1993
61	1800000000	-52.2158
62	1800000000	-52.234
63	1800000000	-52.2463
64	1800000000	-52.2566
65	1800000000	-52.2676
66	1800000000	-52.2873
67	1800000000	-52.3046
68	1800000000	-52.3227
69	1800000000	-52.3364
70	1800000000	-52.3489
71	1800000000	-52.3611
72	1800000000	-52.3869
73	1800000000	-52.4007
74	1800000000	-52.4158
75	1800000000	-52.4377
76	1800000000	-52.447
77	1800000000	-52.4801
78	1800000000	-52.4893
79	1800000000	-52.5141
80	1800000000	-52.523
81	1800000000	-52.5422
82	1800000000	-52.5676
83	1800000000	-52.5832
84	1800000000	-52.6112
85	1800000000	-52.6219
86	1800000000	-52.6517
87	1800000000	-52.6728
88	1800000000	-52.6767
89	1800000000	-52.7119
90	1800000000	-52.736
91	1800000000	-52.7541
92	1800000000	-52.7735
93	1800000000	-52.8047
94	1800000000	-52.8199
95	1800000000	-52.8477
96	1800000000	-52.8713
97	1800000000	-52.8933
98	1800000000	-52.9136
99	1800000000	-52.9436
100	1800000000	-52.968
101	1800000000	-52.9878
102	1800000000	-53.0187
103	1800000000	-53.0358
104	1800000000	-53.0665
105	1800000000	-53.0873
106	1800000000	-53.114
107	1800000000	-53.1494
108	1800000000	-53.169
109	1800000000	-53.1949
110	1800000000	-53.2259
111	1800000000	-53.255
112	1800000000	-53.279
113	1800000000	-53.3064
114	1800000000	-53.3388
115	1800000000	-53.3692
116	1800000000	-53.3997
117	1800000000	-53.4146
118	1800000000	-53.4577
119	1800000000	-53.4898
120	1800000000	-53.5112
121	1800000000	-53.5428
122	1800000000	-53.5772
123	1800000000	-53.6014
124	1800000000	-53.6408
125	1800000000	-53.6791
126	1800000000	-53.7125
127	1800000000	-53.7444
128	1800000000	-53.7667
129	1800000000	-53.7983
130	1800000000	-53.8369
131	1800000000	-53.8754
132	1800000000	-53.9092
