Scan_Point	Freq (Hz)	Pout (DBM)
1	9000000000	-95.0691
2	9000000000	-94.6488
3	9000000000	-95.4438
4	9000000000	-95.1798
5	9000000000	-94.3981
6	9000000000	-95.1015
7	9000000000	-94.9906
8	9000000000	-94.9647
9	9000000000	-94.2589
10	9000000000	-93.8873
11	9000000000	-93.7204
12	9000000000	-94.2095
13	9000000000	-93.8495
14	9000000000	-94.25
15	9000000000	-93.7639
16	9000000000	-94.0398
17	9000000000	-93.3664
18	9000000000	-93.3497
19	9000000000	-93.526
20	9000000000	-93.0248
21	9000000000	-92.7656
22	9000000000	-92.8698
23	9000000000	-92.6299
24	9000000000	-92.6992
25	9000000000	-92.3879
26	9000000000	-92.3905
27	9000000000	-91.4269
28	9000000000	-91.2174
29	9000000000	-91.3181
30	9000000000	-91.4181
31	9000000000	-91.0639
32	9000000000	-90.8608
33	9000000000	-90.4033
34	9000000000	-90.3589
35	9000000000	-90.1021
36	9000000000	-90.3181
37	9000000000	-90.0344
38	9000000000	-89.6465
39	9000000000	-89.8272
40	9000000000	-89.0869
41	9000000000	-89.165
42	9000000000	-88.8696
43	9000000000	-89.4509
44	9000000000	-88.6567
45	9000000000	-88.5017
46	9000000000	-88.5409
47	9000000000	-88.6897
48	9000000000	-87.9108
49	9000000000	-88.1944
50	9000000000	-88.1575
51	9000000000	-87.9867
52	9000000000	-87.8929
53	9000000000	-87.7584
54	9000000000	-87.6752
55	9000000000	-87.4943
56	9000000000	-87.2139
57	9000000000	-87.5167
58	9000000000	-87.4645
59	9000000000	-87.7533
60	9000000000	-87.5686
61	9000000000	-87.2053
62	9000000000	-87.4039
63	9000000000	-87.6128
64	9000000000	-87.4387
65	9000000000	-87.3836
66	9000000000	-87.3989
67	9000000000	-87.6918
68	9000000000	-87.7932
69	9000000000	-87.8225
70	9000000000	-87.9069
71	9000000000	-87.5223
72	9000000000	-87.968
73	9000000000	-87.8769
74	9000000000	-88.2199
75	9000000000	-88.0571
76	9000000000	-88.3838
77	9000000000	-88.6729
78	9000000000	-88.704
79	9000000000	-89.0316
80	9000000000	-88.6551
81	9000000000	-88.865
82	9000000000	-89.3437
83	9000000000	-89.6332
84	9000000000	-89.7359
85	9000000000	-89.9184
86	9000000000	-90.164
87	9000000000	-90.7272
88	9000000000	-90.9086
89	9000000000	-90.9613
90	9000000000	-91.595
91	9000000000	-92.5397
92	9000000000	-92.1067
93	9000000000	-92.894
94	9000000000	-92.6237
95	9000000000	-93.6616
96	9000000000	-93.6791
97	9000000000	-94.3543
98	9000000000	-94.705
99	9000000000	-95.0755
100	9000000000	-96.0421
101	9000000000	-96.8372
102	9000000000	-96.2957
103	9000000000	-97.307
104	9000000000	-97.3801
105	9000000000	-98.5462
106	9000000000	-98.8381
107	9000000000	-99.5895
108	9000000000	-100.171
109	9000000000	-100.709
110	9000000000	-102.2236
111	9000000000	-102.0973
112	9000000000	-104.4099
113	9000000000	-103.1944
114	9000000000	-104.507
115	9000000000	-105.5027
116	9000000000	-106.0324
117	9000000000	-105.9313
118	9000000000	-106.6026
119	9000000000	-107.1286
120	9000000000	-106.7704
121	9000000000	-114.2558
122	9000000000	-106.6736
123	9000000000	-111.089
124	9000000000	-106.7938
125	9000000000	-111.4376
126	9000000000	-110.4732
127	9000000000	-106.9257
128	9000000000	-111.4085
129	9000000000	-114.1047
130	9000000000	-114.1916
131	9000000000	-110.8892
132	9000000000	-107.4047
133	9000000000	-110.645
134	9000000000	-105.8132
135	9000000000	-105.5801
136	9000000000	-107.6057
137	9000000000	-106.2257
138	9000000000	-107.2953
139	9000000000	-106.1952
140	9000000000	-107.395
141	9000000000	-106.2119
142	9000000000	-106.5445
143	9000000000	-104.9318
144	9000000000	-105.5219
145	9000000000	-107.2238
146	9000000000	-110.4444
147	9000000000	-105.6425
148	9000000000	-103.6699
149	9000000000	-104.6703
150	9000000000	-106.2675
151	9000000000	-103.4977
152	9000000000	-103.4526
153	9000000000	-106.8068
154	9000000000	-103.75
155	9000000000	-102.6399
156	9000000000	-103.4261
157	9000000000	-103.042
158	9000000000	-101.8926
159	9000000000	-102.1995
160	9000000000	-101.2978
161	9000000000	-102.2233
162	9000000000	-101.6068
163	9000000000	-102.4113
164	9000000000	-101.8435
165	9000000000	-102.958
166	9000000000	-102.1837
167	9000000000	-101.2115
168	9000000000	-101.9844
169	9000000000	-100.9578
170	9000000000	-101.0738
171	9000000000	-103.5843
172	9000000000	-103.4733
173	9000000000	-101.9473
174	9000000000	-102.4782
175	9000000000	-101.769
176	9000000000	-101.7799
177	9000000000	-99.684
178	9000000000	-101.4639
179	9000000000	-100.9701
180	9000000000	-100.953
181	9000000000	-100.1702
182	9000000000	-100.6026
183	9000000000	-100.1264
184	9000000000	-100.2647
185	9000000000	-99.4912
186	9000000000	-101.7931
187	9000000000	-98.5733
188	9000000000	-99.5891
189	9000000000	-100.2084
190	9000000000	-101.3999
191	9000000000	-100.2756
192	9000000000	-99.9463
193	9000000000	-100.4084
194	9000000000	-99.8431
195	9000000000	-99.4189
196	9000000000	-101.3019
197	9000000000	-99.1037
198	9000000000	-99.4952
199	9000000000	-100.2787
200	9000000000	-99.3976
201	9000000000	-101.4218
202	9000000000	-100.0708
203	9000000000	-100.0692
204	9000000000	-99.9162
205	9000000000	-98.3508
206	9000000000	-100.4749
207	9000000000	-99.3685
208	9000000000	-100.3689
209	9000000000	-98.677
210	9000000000	-100.6484
211	9000000000	-99.0787
212	9000000000	-99.3439
213	9000000000	-98.9513
214	9000000000	-100.1899
215	9000000000	-98.076
216	9000000000	-99.6689
217	9000000000	-98.7382
218	9000000000	-97.9433
219	9000000000	-98.9592
220	9000000000	-98.2594
221	9000000000	-98.8717
222	9000000000	-99.8609
223	9000000000	-97.891
224	9000000000	-97.5837
225	9000000000	-99.2762
226	9000000000	-99.0205
227	9000000000	-97.3685
228	9000000000	-97.6547
229	9000000000	-99.0816
230	9000000000	-98.4721
231	9000000000	-98.6493
232	9000000000	-98.08
233	9000000000	-97.5255
234	9000000000	-97.669
235	9000000000	-97.4659
236	9000000000	-97.4825
237	9000000000	-97.4811
238	9000000000	-97.7822
239	9000000000	-98.3457
240	9000000000	-97.09
241	9000000000	-97.2416
242	9000000000	-98.3756
243	9000000000	-97.8582
244	9000000000	-96.673
245	9000000000	-96.5482
246	9000000000	-97.5053
247	9000000000	-97.0494
248	9000000000	-96.6252
249	9000000000	-96.2447
250	9000000000	-95.4068
251	9000000000	-97.4549
252	9000000000	-96.2224
253	9000000000	-96.6943
254	9000000000	-96.1028
255	9000000000	-96.4049
256	9000000000	-95.7996
257	9000000000	-95.4105
258	9000000000	-95.3721
259	9000000000	-94.6635
260	9000000000	-94.6031
261	9000000000	-94.4704
262	9000000000	-94.0811
263	9000000000	-94.3752
264	9000000000	-93.8124
265	9000000000	-93.5661
266	9000000000	-93.0286
267	9000000000	-93.2511
268	9000000000	-92.7073
269	9000000000	-92.99
270	9000000000	-92.7004
271	9000000000	-92.3815
272	9000000000	-92.0501
273	9000000000	-91.5534
274	9000000000	-91.5597
275	9000000000	-91.396
276	9000000000	-91.1616
277	9000000000	-91.1136
278	9000000000	-90.5199
279	9000000000	-90.345
280	9000000000	-90.0695
281	9000000000	-90.1758
282	9000000000	-90.2101
283	9000000000	-89.3644
284	9000000000	-89.5812
285	9000000000	-89.1592
286	9000000000	-89.0281
287	9000000000	-88.7596
288	9000000000	-88.8793
289	9000000000	-88.478
290	9000000000	-88.0938
291	9000000000	-88.5595
292	9000000000	-88.2205
293	9000000000	-88.0213
294	9000000000	-87.679
295	9000000000	-88.0145
296	9000000000	-87.3186
297	9000000000	-87.5536
298	9000000000	-87.3519
299	9000000000	-87.4583
300	9000000000	-87.0134
301	9000000000	-86.9077
302	9000000000	-86.99
303	9000000000	-87.1181
304	9000000000	-86.658
305	9000000000	-86.8392
306	9000000000	-86.4382
307	9000000000	-86.5974
308	9000000000	-86.5411
309	9000000000	-86.5289
310	9000000000	-86.5856
311	9000000000	-86.465
312	9000000000	-86.4004
313	9000000000	-86.5988
314	9000000000	-86.725
315	9000000000	-86.464
316	9000000000	-86.548
317	9000000000	-86.4752
318	9000000000	-86.4232
319	9000000000	-86.5122
320	9000000000	-86.685
321	9000000000	-86.761
322	9000000000	-86.8617
323	9000000000	-86.6973
324	9000000000	-86.5841
325	9000000000	-86.9318
326	9000000000	-86.988
327	9000000000	-86.9094
328	9000000000	-87.2308
329	9000000000	-87.1764
330	9000000000	-87.1158
331	9000000000	-87.6466
332	9000000000	-87.5907
333	9000000000	-87.5754
334	9000000000	-87.6322
335	9000000000	-87.7766
336	9000000000	-87.8436
337	9000000000	-87.8033
338	9000000000	-88.1179
339	9000000000	-88.3016
340	9000000000	-88.1662
341	9000000000	-88.9204
342	9000000000	-88.5519
343	9000000000	-88.7064
344	9000000000	-89.0169
345	9000000000	-88.9557
346	9000000000	-89.189
347	9000000000	-89.5603
348	9000000000	-90.225
349	9000000000	-89.5234
350	9000000000	-89.7618
351	9000000000	-89.7329
352	9000000000	-90.4377
353	9000000000	-90.6508
354	9000000000	-90.3554
355	9000000000	-90.6653
356	9000000000	-91.0764
357	9000000000	-91.0386
358	9000000000	-91.4169
359	9000000000	-91.4698
360	9000000000	-91.6066
361	9000000000	-91.9343
362	9000000000	-91.7426
363	9000000000	-92.0121
364	9000000000	-91.8846
365	9000000000	-92.239
366	9000000000	-92.6626
367	9000000000	-92.8027
368	9000000000	-92.8625
369	9000000000	-92.7309
370	9000000000	-92.6399
371	9000000000	-92.9865
372	9000000000	-92.6952
373	9000000000	-92.4374
374	9000000000	-93.1632
375	9000000000	-92.4787
376	9000000000	-92.7553
377	9000000000	-93.4123
378	9000000000	-92.5675
379	9000000000	-92.2748
380	9000000000	-92.9314
381	9000000000	-93.4701
382	9000000000	-92.718
383	9000000000	-92.4791
384	9000000000	-92.3864
385	9000000000	-92.3327
386	9000000000	-92.0989
387	9000000000	-92.3506
388	9000000000	-91.7757
389	9000000000	-91.8409
390	9000000000	-92.1996
391	9000000000	-92.3132
392	9000000000	-91.3725
393	9000000000	-91.4375
394	9000000000	-91.458
395	9000000000	-91.4494
396	9000000000	-90.9378
397	9000000000	-90.6368
398	9000000000	-91.0546
399	9000000000	-90.9624
400	9000000000	-90.4973
401	9000000000	-90.7104
402	9000000000	-90.3886
403	9000000000	-90.4035
404	9000000000	-90.141
