Scan_Point	Freq (Hz)	Pout (DBM)
1	5723000000	-54.0415
2	5723000000	-53.9706
3	5723000000	-53.9015
4	5723000000	-53.8278
5	5723000000	-53.7676
6	5723000000	-53.7072
7	5723000000	-53.645
8	5723000000	-53.5795
9	5723000000	-53.527
10	5723000000	-53.47
11	5723000000	-53.436
12	5723000000	-53.3996
13	5723000000	-53.3726
14	5723000000	-53.3514
15	5723000000	-53.3378
16	5723000000	-53.3268
17	5723000000	-53.3244
18	5723000000	-53.3278
19	5723000000	-53.3311
20	5723000000	-53.3552
21	5723000000	-53.3791
22	5723000000	-53.4029
23	5723000000	-53.4657
24	5723000000	-53.525
25	5723000000	-53.5854
26	5723000000	-53.6591
27	5723000000	-53.7284
28	5723000000	-53.8014
29	5723000000	-53.8774
30	5723000000	-53.964
31	5723000000	-54.0573
32	5723000000	-54.1465
33	5723000000	-54.2505
34	5723000000	-54.3616
35	5723000000	-54.4726
36	5723000000	-54.5723
37	5723000000	-54.6806
38	5723000000	-54.7969
39	5723000000	-54.9079
40	5723000000	-55.0228
41	5723000000	-55.1606
42	5723000000	-55.2628
43	5723000000	-55.3925
44	5723000000	-55.5089
45	5723000000	-55.6359
46	5723000000	-55.7692
47	5723000000	-55.8929
48	5723000000	-56.0173
49	5723000000	-56.1572
50	5723000000	-56.2712
51	5723000000	-56.4052
52	5723000000	-56.5446
53	5723000000	-56.6769
54	5723000000	-56.7951
55	5723000000	-56.9447
56	5723000000	-57.0554
57	5723000000	-57.1819
58	5723000000	-57.2865
59	5723000000	-57.4027
60	5723000000	-57.5077
61	5723000000	-57.6147
62	5723000000	-57.7139
63	5723000000	-57.8309
64	5723000000	-57.9274
65	5723000000	-58.0432
66	5723000000	-58.1506
67	5723000000	-58.2665
68	5723000000	-58.3802
69	5723000000	-58.5225
70	5723000000	-58.6579
71	5723000000	-58.7965
72	5723000000	-58.9396
73	5723000000	-59.0827
74	5723000000	-59.244
75	5723000000	-59.4041
76	5723000000	-59.5833
77	5723000000	-59.7653
78	5723000000	-59.92
79	5723000000	-60.0821
80	5723000000	-60.2393
81	5723000000	-60.3897
82	5723000000	-60.5412
83	5723000000	-60.6485
84	5723000000	-60.8019
85	5723000000	-60.8947
86	5723000000	-60.9891
87	5723000000	-61.1031
88	5723000000	-61.2085
89	5723000000	-61.3064
90	5723000000	-61.4047
91	5723000000	-61.5099
92	5723000000	-61.6533
93	5723000000	-61.7985
94	5723000000	-61.9364
95	5723000000	-62.0769
96	5723000000	-62.271
97	5723000000	-62.4417
98	5723000000	-62.6416
99	5723000000	-62.8311
100	5723000000	-63.0614
101	5723000000	-63.3091
102	5723000000	-63.4938
103	5723000000	-63.7382
104	5723000000	-63.9634
105	5723000000	-64.1731
106	5723000000	-64.3734
107	5723000000	-64.572
108	5723000000	-64.8018
109	5723000000	-64.9929
110	5723000000	-65.1645
111	5723000000	-65.3402
112	5723000000	-65.5183
113	5723000000	-65.7069
114	5723000000	-65.8644
115	5723000000	-66.0807
116	5723000000	-66.2716
117	5723000000	-66.5157
118	5723000000	-66.6983
119	5723000000	-66.9615
120	5723000000	-67.1973
121	5723000000	-67.4995
122	5723000000	-67.8025
123	5723000000	-68.1551
124	5723000000	-68.4855
125	5723000000	-68.8901
126	5723000000	-69.294
127	5723000000	-69.6814
128	5723000000	-70.1786
129	5723000000	-70.6724
130	5723000000	-71.1446
131	5723000000	-71.6734
132	5723000000	-72.2045
133	5723000000	-72.7606
134	5723000000	-73.3846
135	5723000000	-74.0196
136	5723000000	-74.6401
137	5723000000	-75.3121
138	5723000000	-75.9629
139	5723000000	-76.7997
140	5723000000	-77.4961
141	5723000000	-78.1451
142	5723000000	-78.3973
143	5723000000	-78.5017
144	5723000000	-78.3148
145	5723000000	-77.6059
146	5723000000	-77.015
147	5723000000	-75.965
148	5723000000	-75.1892
149	5723000000	-74.3495
150	5723000000	-73.6304
151	5723000000	-73.0272
152	5723000000	-72.3792
153	5723000000	-72.0039
154	5723000000	-71.6059
155	5723000000	-71.2785
156	5723000000	-71.0632
157	5723000000	-70.957
158	5723000000	-70.8942
159	5723000000	-70.9339
160	5723000000	-71.0079
161	5723000000	-71.0933
162	5723000000	-71.2549
163	5723000000	-71.4451
164	5723000000	-71.7845
165	5723000000	-72.1045
166	5723000000	-72.3676
167	5723000000	-72.6556
168	5723000000	-73.0482
169	5723000000	-73.3941
170	5723000000	-73.6978
171	5723000000	-74.009
172	5723000000	-74.1287
173	5723000000	-74.3562
174	5723000000	-74.4362
175	5723000000	-74.4982
176	5723000000	-74.5191
177	5723000000	-74.405
178	5723000000	-74.4591
179	5723000000	-74.3355
180	5723000000	-74.2214
181	5723000000	-74.0612
182	5723000000	-73.967
183	5723000000	-73.792
184	5723000000	-73.6696
185	5723000000	-73.432
186	5723000000	-73.3511
187	5723000000	-73.0958
188	5723000000	-72.9586
189	5723000000	-72.7772
190	5723000000	-72.6833
191	5723000000	-72.5897
192	5723000000	-72.3352
193	5723000000	-72.2069
194	5723000000	-72.0996
195	5723000000	-72.027
196	5723000000	-71.9176
197	5723000000	-71.7912
198	5723000000	-71.787
199	5723000000	-71.6447
200	5723000000	-71.4779
201	5723000000	-71.3178
202	5723000000	-71.192
203	5723000000	-70.9367
204	5723000000	-70.6491
205	5723000000	-70.4156
206	5723000000	-70.1137
207	5723000000	-69.7171
208	5723000000	-69.3707
209	5723000000	-69.0295
210	5723000000	-68.6916
211	5723000000	-68.3036
212	5723000000	-67.9529
213	5723000000	-67.6597
214	5723000000	-67.3866
215	5723000000	-67.0928
216	5723000000	-66.8684
217	5723000000	-66.6741
218	5723000000	-66.4266
219	5723000000	-66.2386
220	5723000000	-66.0867
221	5723000000	-65.9312
222	5723000000	-65.7677
223	5723000000	-65.5735
224	5723000000	-65.474
225	5723000000	-65.3092
226	5723000000	-65.2074
227	5723000000	-65.0855
228	5723000000	-64.9771
229	5723000000	-64.8379
230	5723000000	-64.7536
231	5723000000	-64.6822
232	5723000000	-64.6124
233	5723000000	-64.5773
234	5723000000	-64.5677
235	5723000000	-64.5982
236	5723000000	-64.6297
237	5723000000	-64.6778
238	5723000000	-64.7568
239	5723000000	-64.8736
240	5723000000	-64.9921
241	5723000000	-65.0926
242	5723000000	-65.211
243	5723000000	-65.2885
244	5723000000	-65.3745
245	5723000000	-65.4138
246	5723000000	-65.4517
247	5723000000	-65.4746
248	5723000000	-65.4661
249	5723000000	-65.4588
250	5723000000	-65.4591
251	5723000000	-65.4598
252	5723000000	-65.4673
253	5723000000	-65.5347
254	5723000000	-65.5284
255	5723000000	-65.5683
256	5723000000	-65.6804
257	5723000000	-65.694
258	5723000000	-65.7918
259	5723000000	-65.8297
260	5723000000	-65.8495
261	5723000000	-65.8441
262	5723000000	-65.8385
263	5723000000	-65.7762
264	5723000000	-65.6987
265	5723000000	-65.6098
266	5723000000	-65.5286
267	5723000000	-65.4389
268	5723000000	-65.3199
269	5723000000	-65.2513
270	5723000000	-65.1845
271	5723000000	-65.148
272	5723000000	-65.0822
273	5723000000	-65.0531
274	5723000000	-64.9668
275	5723000000	-64.8372
276	5723000000	-64.7513
277	5723000000	-64.583
278	5723000000	-64.3896
279	5723000000	-64.178
280	5723000000	-63.9697
281	5723000000	-63.7118
282	5723000000	-63.4837
283	5723000000	-63.2988
284	5723000000	-63.075
285	5723000000	-62.926
286	5723000000	-62.7543
287	5723000000	-62.6353
288	5723000000	-62.5153
289	5723000000	-62.4304
290	5723000000	-62.3612
291	5723000000	-62.2609
292	5723000000	-62.2137
293	5723000000	-62.1275
294	5723000000	-62.0323
295	5723000000	-61.8962
296	5723000000	-61.7652
297	5723000000	-61.619
298	5723000000	-61.4689
299	5723000000	-61.2954
300	5723000000	-61.1312
301	5723000000	-60.9514
302	5723000000	-60.7934
303	5723000000	-60.6416
304	5723000000	-60.4433
305	5723000000	-60.3021
306	5723000000	-60.1645
307	5723000000	-60.0203
308	5723000000	-59.8628
309	5723000000	-59.7267
310	5723000000	-59.5833
311	5723000000	-59.4288
312	5723000000	-59.2651
313	5723000000	-59.0932
314	5723000000	-58.9285
315	5723000000	-58.7381
316	5723000000	-58.5497
317	5723000000	-58.3675
318	5723000000	-58.1647
319	5723000000	-57.981
320	5723000000	-57.7536
321	5723000000	-57.5571
322	5723000000	-57.3689
323	5723000000	-57.1783
324	5723000000	-56.9987
325	5723000000	-56.8139
326	5723000000	-56.6345
327	5723000000	-56.4617
328	5723000000	-56.2987
329	5723000000	-56.1506
330	5723000000	-56.0049
331	5723000000	-55.8713
332	5723000000	-55.7395
333	5723000000	-55.6115
334	5723000000	-55.4862
335	5723000000	-55.3654
336	5723000000	-55.2737
337	5723000000	-55.1574
338	5723000000	-55.0648
339	5723000000	-54.962
340	5723000000	-54.8849
341	5723000000	-54.7908
342	5723000000	-54.7209
343	5723000000	-54.6523
344	5723000000	-54.5732
345	5723000000	-54.509
346	5723000000	-54.4521
347	5723000000	-54.3971
348	5723000000	-54.3283
349	5723000000	-54.2887
350	5723000000	-54.2386
351	5723000000	-54.1943
352	5723000000	-54.1589
353	5723000000	-54.1161
354	5723000000	-54.084
355	5723000000	-54.0431
356	5723000000	-54.0122
357	5723000000	-53.9844
358	5723000000	-53.9597
359	5723000000	-53.9233
360	5723000000	-53.8978
361	5723000000	-53.8621
