Scan_Point	Freq (Hz)	Pout (DBM)
1	5723000000	-53.1319
2	5723000000	-53.1341
3	5723000000	-53.0893
4	5723000000	-53.0709
5	5723000000	-53.0772
6	5723000000	-53.0777
7	5723000000	-53.0834
8	5723000000	-53.0995
9	5723000000	-53.1145
10	5723000000	-53.138
11	5723000000	-53.1661
12	5723000000	-53.2005
13	5723000000	-53.2344
14	5723000000	-53.2765
15	5723000000	-53.3168
16	5723000000	-53.3608
17	5723000000	-53.4139
18	5723000000	-53.4755
19	5723000000	-53.5319
20	5723000000	-53.5913
21	5723000000	-53.6694
22	5723000000	-53.7336
23	5723000000	-53.8074
24	5723000000	-53.9008
25	5723000000	-53.9758
26	5723000000	-54.0634
27	5723000000	-54.1527
28	5723000000	-54.2515
29	5723000000	-54.3573
30	5723000000	-54.4484
31	5723000000	-54.5542
32	5723000000	-54.6674
33	5723000000	-54.7759
34	5723000000	-54.8931
35	5723000000	-55.0113
36	5723000000	-55.124
37	5723000000	-55.2537
38	5723000000	-55.3832
39	5723000000	-55.5205
40	5723000000	-55.6467
41	5723000000	-55.7895
42	5723000000	-55.9238
43	5723000000	-56.0901
44	5723000000	-56.2159
45	5723000000	-56.3684
46	5723000000	-56.5191
47	5723000000	-56.6715
48	5723000000	-56.8247
49	5723000000	-56.9878
50	5723000000	-57.1362
51	5723000000	-57.3141
52	5723000000	-57.466
53	5723000000	-57.6463
54	5723000000	-57.8015
55	5723000000	-57.9707
56	5723000000	-58.1542
57	5723000000	-58.3185
58	5723000000	-58.4954
59	5723000000	-58.6797
60	5723000000	-58.8556
61	5723000000	-59.0376
62	5723000000	-59.2187
63	5723000000	-59.4033
64	5723000000	-59.5912
65	5723000000	-59.7734
66	5723000000	-59.9715
67	5723000000	-60.1666
68	5723000000	-60.3834
69	5723000000	-60.5654
70	5723000000	-60.7591
71	5723000000	-60.9823
72	5723000000	-61.1839
73	5723000000	-61.3758
74	5723000000	-61.595
75	5723000000	-61.8148
76	5723000000	-62.0369
77	5723000000	-62.2632
78	5723000000	-62.4939
79	5723000000	-62.7136
80	5723000000	-62.9608
81	5723000000	-63.2068
82	5723000000	-63.4185
83	5723000000	-63.6701
84	5723000000	-63.9106
85	5723000000	-64.1788
86	5723000000	-64.4411
87	5723000000	-64.6666
88	5723000000	-64.9087
89	5723000000	-65.1936
90	5723000000	-65.4128
91	5723000000	-65.6772
92	5723000000	-65.8923
93	5723000000	-66.1372
94	5723000000	-66.4177
95	5723000000	-66.6289
96	5723000000	-66.8976
97	5723000000	-67.1066
98	5723000000	-67.3634
99	5723000000	-67.6135
100	5723000000	-67.8009
101	5723000000	-68.0733
102	5723000000	-68.2732
103	5723000000	-68.5021
104	5723000000	-68.7824
105	5723000000	-68.9714
106	5723000000	-69.2009
107	5723000000	-69.4212
108	5723000000	-69.671
109	5723000000	-69.8549
110	5723000000	-70.114
111	5723000000	-70.3085
112	5723000000	-70.5386
113	5723000000	-70.7002
114	5723000000	-70.9559
115	5723000000	-71.1577
116	5723000000	-71.3804
117	5723000000	-71.5604
118	5723000000	-71.7153
119	5723000000	-72.0506
120	5723000000	-72.2019
121	5723000000	-72.3683
122	5723000000	-72.5326
123	5723000000	-72.8264
124	5723000000	-72.9928
125	5723000000	-73.1453
126	5723000000	-73.3456
127	5723000000	-73.5708
128	5723000000	-73.6851
129	5723000000	-73.8547
130	5723000000	-73.9786
131	5723000000	-74.2703
132	5723000000	-74.3128
133	5723000000	-74.4794
134	5723000000	-74.6611
135	5723000000	-74.7723
136	5723000000	-74.8975
137	5723000000	-75.0129
138	5723000000	-75.1352
139	5723000000	-75.1885
140	5723000000	-75.245
141	5723000000	-75.3456
142	5723000000	-75.4431
143	5723000000	-75.4666
144	5723000000	-75.5329
145	5723000000	-75.5469
146	5723000000	-75.5886
147	5723000000	-75.5393
148	5723000000	-75.6265
149	5723000000	-75.6
150	5723000000	-75.4505
151	5723000000	-75.4812
152	5723000000	-75.4478
153	5723000000	-75.4526
154	5723000000	-75.2432
155	5723000000	-75.1956
156	5723000000	-75.0716
157	5723000000	-75.0793
158	5723000000	-74.9214
159	5723000000	-74.8428
160	5723000000	-74.7856
161	5723000000	-74.6067
162	5723000000	-74.569
163	5723000000	-74.4907
164	5723000000	-74.3813
165	5723000000	-74.2786
166	5723000000	-74.1472
167	5723000000	-74.0504
168	5723000000	-73.9579
169	5723000000	-73.8969
170	5723000000	-73.788
171	5723000000	-73.7185
172	5723000000	-73.7139
173	5723000000	-73.6481
174	5723000000	-73.6091
175	5723000000	-73.5447
176	5723000000	-73.45
177	5723000000	-73.4087
178	5723000000	-73.4612
179	5723000000	-73.4065
180	5723000000	-73.406
181	5723000000	-73.3889
182	5723000000	-73.3943
183	5723000000	-73.4675
184	5723000000	-73.3941
185	5723000000	-73.4387
186	5723000000	-73.443
187	5723000000	-73.5351
